名稱:             描述:
drgnbstr          "屠龍戰記"
drgninja          "龍之忍者 ( 日版 )"
drgninjab         "Dragonninja (bootleg)"
drgnmst           "龍聖"
drgnunit          "龍之軍團 / 龍之城堡"
drgnwrld          "中國龍 ( 世界二版 )"
drgnwrldv10c      "Zhong Guo Long (China, V010C)"
drgnwrldv11h      "Dong Fang Zhi Zhu (Hong Kong, V011H)"
drgnwrldv20j      "Zhong Guo Long (Japan, V020J)"
drgnwrldv21       "Dragon World (World, V021O)"
drgnwrldv21j      "Zhong Guo Long (Japan, V021J)"
drgnwrldv30       "Dragon World (World, V030O)"
drgpunch          "龍牌"
drgw2             "中國龍 2 ( 世界版 )"
drgw2c            "中國龍 2 ( 中國版 )"
drgw2hk           "Dragon World II (ver. 100H, Hong Kong [Hokg Kong])"
drgw2j            "中國龍 2 ( 日版 )"
drgw3             "Dragon World 3 / Chuugokuryuu 3 Special (ver. 106)"
drgw3100          "Chuugokuryuu 3 Special (Japan, ver. 100)"
drgw3103          "Chuugokuryuu 3 Special (Japan, ver. 103)"
drgw3105          "Dragon World 3 / Chuugokuryuu 3 Special (ver. 105)"
drhl              "Drews Revenge (v.2.89, set 1)"
drhla             "Drews Revenge (v.2.89, set 2)"
dribling          "電視足球"
driblingbr        "Dribbling (bootleg, Brazil)"
driblingo         "Dribbling (Olympia)"
drifto94          "越野房車賽 94"
driftout          "越野房車賽 ( 日版 )"
driftoutj         "Drift Out (Japan)"
drivedge          "尖峰駕駛員"
driveout          "越野房車賽 ( 盜版 )"
driveyes          "駕駛視點"
drivfrcb          "方程式賽車 ( 盜版 )"
drivfrcg          "方程式賽車 ( 小蜜蜂轉換 )"
drivfrcp          "方程式賽車 ( 小精靈轉換 )"
drivfrct          "Top Racer (bootleg of Driving Force)"
drktnjr           "黑暗迷宮 ( 大金剛 2 交換 )"
drmario           "任天堂系統: 瑪莉歐醫生"
drmicro           "麥克羅博士"
drmmake           "Dream Maker (Russia) (Atronic)"
drmn              "青春鼓王"
drmn10m           "DrumMania 10th Mix (G*D40 VER. JAA)"
drmn2m            "青春鼓王 2"
drmn2mpu          "青春鼓王 2: 升級版"
drmn3m            "青春鼓王 3 ( 日版 )"
drmn4m            "DrumMania 4th Mix (G*A25 VER. JAA)"
drmn5m            "DrumMania 5th Mix (G*B05 VER. JAA)"
drmn6m            "DrumMania 6th Mix (G*B16 VER. JAA)"
drmn7m            "DrumMania 7th Mix power-up ver. (G*C07 VER. JBA)"
drmn7ma           "DrumMania 7th Mix (G*C07 VER. JAA)"
drmn8m            "DrumMania 8th Mix (G*C07 VER. JAA)"
drmn9m            "DrumMania 9th Mix (G*D09 VER. JAA)"
drpcjr            "Doctor PC Jr"
drtomy            "湯米醫生"
drtoppel          "生物探險隊 ( 世界版 )"
drtoppelj         "Dr. Toppel's Tankentai (Japan)"
drtoppelu         "Dr. Toppel's Adventure (US)"
drw80pk2          "Draw 80 Poker - Minn"
drw80pkr          "梭哈 80 撲克"
dsaber            "龍魂 2"
dsaberj           "龍魂 2 ( 日版 )"
dsem              "勁爆熱舞: 極度混音"
dsem2             "勁爆熱舞: 極度混音 2"
dsfdct            "勁爆熱舞: 美夢成真 ( 日版 )"
dsfdcta           "勁爆熱舞: 美夢成真 ( 美版 )"
dsfdr             "Dancing Stage Featuring Disney's Rave (GCA37JAA)"
dsftkd            "勁爆熱舞: 真實之吻"
dslayrr           "Dragon Slayer (Russia, set 1)"
dslayrra          "Dragon Slayer (Russia, set 2)"
dsmbl             "Deathsmiles MegaBlack Label (2008/10/06 MEGABLACK LABEL VER)"
dsoccr94          "夢幻足球 94"
dsoccr94j         "Dream Soccer '94 (Japan, M92 hardware)"
dsoccr94k         "Dream Soccer '94 (Korea, M107 hardware)"
dspirit           "龍魂 ( 新版 )"
dspirit1          "Dragon Spirit (old version (DS1))"
dspirit2          "Dragon Spirit (DS2)"
dstage            "勁爆熱舞 ( EAA )"
dstagea           "Dancing Stage (GN845 VER. EAA)"
dstlk             "魔域幽靈 ( 歐版 940705 )"
dstlka            "魔域幽靈 ( 亞版 940705 )"
dstlkh            "Darkstalkers: The Night Warriors (Hispanic 940818)"
dstlku            "魔域幽靈 ( 美版 940818 )"
dstlkur1          "魔域幽靈 ( 美版 940705 )"
dstlkur1d         "魔域幽靈 ( 鳳凰版 940705 )"
dtfamily          "Diet Family"
dtoyoken          "Mahjong Dai Touyouken (Japan)"
dtrvwz5           "Deluxe Trivia ? Whiz (6221-70, U5-0A Edition 5)"
dualaslt          "解放行動 ( 美版 )"
dualgame          "Dual Games (prototype)"
duckhunt          "任天堂系統: 獵鴨"
dumpmtmt          "女子摔角 ( 日版 )"
dungdrag          "Dungeons & Dragons"
dungeonm          "土牢魔法 ( 世界版 )"
dungeonmu         "Dungeon Magic (Ver 2.1A 1994/02/18)"
dunhuang          "敦煌"
dunkmnia          "瘋狂籃球 ( DM2 )"
dunkmniajc        "Dunk Mania (Japan, DM1/VER.C)"
dunkshot          "Dunk Shot (Rev C, FD1089A 317-0022)"
dunkshota         "Dunk Shot (Rev A, FD1089A 317-0022)"
dunkshoto         "大扣籃"
dvisland          "惡魔島水果盤"
dvislando         "Devil Island (Version 1.0R CGA)"
dvlrider          "Devil Riders"
dvlriderg         "Devil Riders (German speech)"
dvlrideri         "Devil Riders (Italian speech)"
dvlsdre           "Devil's Dare"
dvlsdre2          "Devil's Dare (Sound Only)"
dw2001            "Chuugokuryuu 2001 [Dragon World 2001] (V100?, Japan)"
dw2v100x          "Dragon World II (ver. 100X, Export)"
dw_l1             "Doctor Who (L-1)"
dw_l2             "Doctor Who (L-2)"
dw_p5             "Doctor Who (P-5)"
dwarfd            "侏儒巢穴"
dwarfda           "Draw Poker III / Dwarfs Den (Card Gfx)"
dwex              "Dragon World 3 EX (ver. 100)"
dwpc              "Chuugokuryuu Pretty Chance [Dragon World Pretty Chance] (V101, Japan)"
dybb99            "激鬥職棒 99"
dybbnao           "激鬥職棒 98"
dyger             "特攻隊 ( 韓一版 )"
dygera            "特攻隊 ( 韓二版 )"
dygolf            "VR 高爾夫"
dynabb            "激鬥職棒 97"
dynabb97          "Dynamite Baseball 97 (Revision A)"
dynablst          "轟炸超人"
dynablstb         "Dynablaster / Bomber Man (bootleg)"
dynablstb2        "Dynablaster / Bomber Man (bootleg, alt)"
dynabomb          "爆彈奇兵"
dynadice          "動力骰子"
dynagear          "森林大王"
dynamcop          "火爆刑事 2 ( 美版, 2A )"
dynamcopb         "Dynamite Cop (Export, Model 2B)"
dynamcopc         "Dynamite Cop (USA, Model 2C)"
dynamski          "跳遠滑雪"
dynashot          "射門王"
dyndeka2          "火爆刑事 2 ( 日版, 2A )"
dyndeka2b         "Dynamite Deka 2 (Japan, Model 2B)"
dynduke           "爆破公爵 ( 日版 )"
dyndukea          "Dynamite Duke (Europe set 2)"
dyndukej          "Dynamite Duke (Japan)"
dyndukeu          "Dynamite Duke (US)"
dynobop           "恐龍寶貝"
dynwar            "王朝戰爭 ( 美一版 )"
dynwara           "Dynasty Wars (USA, B-Board 88622B-3)"
dynwarj           "吞食天地 ( 日版 )"
dynwarjr          "Tenchi wo Kurau (Japan Resale Ver.)"
dzigzag           "打空氣 ( 盜版 )"
eagle             "老鷹登陸艇 ( 版本 1 )"
eagle2            "老鷹登陸艇 ( 版本 2 )"
eagle3            "老鷹登陸艇 ( 版本 3 )"
eaglshot          "鷹擊高爾夫"
earthjkr          "國聯防衛軍: 地球的王牌"
earthjkrp         "U.N. Defense Force: Earth Joker (Japan, prototype?)"
eatpm_4g          "Elvira and the Party Monsters (LG-4)"
eatpm_4u          "Elvira and the Party Monsters (LU-4)"
eatpm_l1          "Elvira and the Party Monsters (LA-1)"
eatpm_l2          "Elvira and the Party Monsters (LA-2)"
eatpm_l4          "Elvira and the Party Monsters (LA-4)"
eatpm_p7          "Elvira and the Party Monsters (PA-7)"
eballchp          "Eight Ball Champ"
eballd14          "Eight Ball Deluxe (rev. 14)"
eballdlx          "Eight Ball Deluxe (rev. 15)"
eballdlxp1        "Eight Ball Deluxe (prototype rev. 1)"
eballdlxp2        "Eight Ball Deluxe (prototype rev. 2)"
eballdlxp3        "Eight Ball Deluxe (prototype rev. 3)"
eballdlxp4        "Eight Ball Deluxe (prototype rev. 4)"
ebases            "盜壘"
ec_bar5           "Bar 5 (older PCB) (Electrocoin)"
ec_bar7           "Bar 7 (Concept Games Ltd) (?)"
ec_barx           "Bar X (Electrocoin) (set 1)"
ec_barx__0        "Bar X (Electrocoin) (set 28)"
ec_barx__1        "Bar X (Electrocoin) (set 29)"
ec_barx__2        "Bar X (Electrocoin) (set 30)"
ec_barx__3        "Bar X (Electrocoin) (set 31)"
ec_barx__4        "Bar X (Electrocoin) (set 32)"
ec_barx__5        "Bar X (Electrocoin) (set 33)"
ec_barx__6        "Bar X (Electrocoin) (set 34)"
ec_barx__7        "Bar X (Electrocoin) (set 35)"
ec_barx__8        "Bar X (Electrocoin) (set 36)"
ec_barx__9        "Bar X (Electrocoin) (set 37)"
ec_barx__a        "Bar X (Electrocoin) (set 2)"
ec_barx__a0       "Bar X (Electrocoin) (set 64)"
ec_barx__a1       "Bar X (Electrocoin) (set 65)"
ec_barx__a2       "Bar X (Electrocoin) (set 66)"
ec_barx__a3       "Bar X (Electrocoin) (set 67)"
ec_barx__a4       "Bar X (Electrocoin) (set 68)"
ec_barx__a5       "Bar X (Electrocoin) (set 69)"
ec_barx__a6       "Bar X (Electrocoin) (set 70)"
ec_barx__a7       "Bar X (Electrocoin) (set 71)"
ec_barx__a8       "Bar X (Electrocoin) (set 72)"
ec_barx__a9       "Bar X (Electrocoin) (set 73)"
ec_barx__aa       "Bar X (Electrocoin) (set 38)"
ec_barx__ab       "Bar X (Electrocoin) (set 39)"
ec_barx__ac       "Bar X (Electrocoin) (set 40)"
ec_barx__ad       "Bar X (Electrocoin) (set 41)"
ec_barx__ae       "Bar X (Electrocoin) (set 42)"
ec_barx__af       "Bar X (Electrocoin) (set 43)"
ec_barx__ag       "Bar X (Electrocoin) (set 44)"
ec_barx__ah       "Bar X (Electrocoin) (set 45)"
ec_barx__ai       "Bar X (Electrocoin) (set 46)"
ec_barx__aj       "Bar X (Electrocoin) (set 47)"
ec_barx__ak       "Bar X (Electrocoin) (set 48)"
ec_barx__al       "Bar X (Electrocoin) (set 49)"
ec_barx__am       "Bar X (Electrocoin) (set 50)"
ec_barx__an       "Bar X (Electrocoin) (set 51)"
ec_barx__ao       "Bar X (Electrocoin) (set 52)"
ec_barx__ap       "Bar X (Electrocoin) (set 53)"
ec_barx__aq       "Bar X (Electrocoin) (set 54)"
ec_barx__ar       "Bar X (Electrocoin) (set 55)"
ec_barx__as       "Bar X (Electrocoin) (set 56)"
ec_barx__at       "Bar X (Electrocoin) (set 57)"
ec_barx__au       "Bar X (Electrocoin) (set 58)"
ec_barx__av       "Bar X (Electrocoin) (set 59)"
ec_barx__aw       "Bar X (Electrocoin) (set 60)"
ec_barx__ax       "Bar X (Electrocoin) (set 61)"
ec_barx__ay       "Bar X (Electrocoin) (set 62)"
ec_barx__az       "Bar X (Electrocoin) (set 63)"
ec_barx__b        "Bar X (Electrocoin) (set 3)"
ec_barx__ba       "Bar X (Electrocoin) (set 74)"
ec_barx__bb       "Bar X (Electrocoin) (set 75)"
ec_barx__bc       "Bar X (Electrocoin) (set 76)"
ec_barx__bd       "Bar X (Electrocoin) (set 77)"
ec_barx__be       "Bar X (Electrocoin) (set 78)"
ec_barx__bf       "Bar X (Electrocoin) (set 79)"
ec_barx__bg       "Bar X (Electrocoin) (set 80)"
ec_barx__bh       "Bar X (Electrocoin) (set 81)"
ec_barx__bi       "Bar X (Electrocoin) (set 82)"
ec_barx__bj       "Bar X (Electrocoin) (set 83)"
ec_barx__bk       "Bar X (Electrocoin) (set 84)"
ec_barx__bl       "Bar X (Electrocoin) (set 85)"
ec_barx__bm       "Bar X (Electrocoin) (set 86)"
ec_barx__bn       "Bar X (Electrocoin) (set 87)"
ec_barx__bo       "Bar X (Electrocoin) (set 88)"
ec_barx__bp       "Bar X (Electrocoin) (set 89)"
ec_barx__bq       "Bar X (Electrocoin) (set 90)"
ec_barx__br       "Bar X (Electrocoin) (set 91)"
ec_barx__bs       "Bar X (Electrocoin) (set 92)"
ec_barx__bt       "Bar X (Electrocoin) (set 93)"
ec_barx__bu       "Bar X (Electrocoin) (set 94)"
ec_barx__c        "Bar X (Electrocoin) (set 4)"
ec_barx__d        "Bar X (Electrocoin) (set 5)"
ec_barx__e        "Bar X (Electrocoin) (set 6)"
ec_barx__f        "Bar X (Electrocoin) (set 7)"
ec_barx__g        "Bar X (Electrocoin) (set 8)"
ec_barx__h        "Bar X (Electrocoin) (set 9)"
ec_barx__i        "Bar X (Electrocoin) (set 10)"
ec_barx__j        "Bar X (Electrocoin) (set 11)"
ec_barx__k        "Bar X (Electrocoin) (set 12)"
ec_barx__l        "Bar X (Electrocoin) (set 13)"
ec_barx__m        "Bar X (Electrocoin) (set 14)"
ec_barx__n        "Bar X (Electrocoin) (set 15)"
ec_barx__o        "Bar X (Electrocoin) (set 16)"
ec_barx__p        "Bar X (Electrocoin) (set 17)"
ec_barx__q        "Bar X (Electrocoin) (set 18)"
ec_barx__r        "Bar X (Electrocoin) (set 19)"
ec_barx__s        "Bar X (Electrocoin) (set 20)"
ec_barx__t        "Bar X (Electrocoin) (set 21)"
ec_barx__u        "Bar X (Electrocoin) (set 22)"
ec_barx__v        "Bar X (Electrocoin) (set 23)"
ec_barx__w        "Bar X (Electrocoin) (set 24)"
ec_barx__x        "Bar X (Electrocoin) (set 25)"
ec_barx__y        "Bar X (Electrocoin) (set 26)"
ec_barx__z        "Bar X (Electrocoin) (set 27)"
ec_barxmab        "Bar X (MAB PCB) (Electrocoin)"
ec_barxo          "Bar X (older PCB) (Electrocoin) (set 1)"
ec_barxoa         "Bar X (older PCB) (Electrocoin) (set 2)"
ec_barxob         "Bar X (older PCB) (Electrocoin) (set 3)"
ec_barxoc         "Bar X (older PCB) (Electrocoin) (set 4)"
ec_barxod         "Bar X (older PCB) (Electrocoin) (set 5)"
ec_barxoe         "Bar X (older PCB) (Electrocoin) (set 6)"
ec_big7           "Big 7 / Super Big 7 (Electrocoin) (set 1)"
ec_big7__0        "Big 7 / Super Big 7 (Electrocoin) (set 28)"
ec_big7__1        "Big 7 / Super Big 7 (Electrocoin) (set 29)"
ec_big7__2        "Big 7 / Super Big 7 (Electrocoin) (set 30)"
ec_big7__3        "Big 7 / Super Big 7 (Electrocoin) (set 31)"
ec_big7__4        "Big 7 / Super Big 7 (Electrocoin) (set 32)"
ec_big7__5        "Big 7 / Super Big 7 (Electrocoin) (set 33)"
ec_big7__6        "Big 7 / Super Big 7 (Electrocoin) (set 34)"
ec_big7__7        "Big 7 / Super Big 7 (Electrocoin) (set 35)"
ec_big7__8        "Big 7 / Super Big 7 (Electrocoin) (set 36)"
ec_big7__9        "Big 7 / Super Big 7 (Electrocoin) (set 37)"
ec_big7__a        "Big 7 / Super Big 7 (Electrocoin) (set 2)"
ec_big7__a0       "Big 7 / Super Big 7 (Electrocoin) (set 64)"
ec_big7__a1       "Big 7 / Super Big 7 (Electrocoin) (set 65)"
ec_big7__a2       "Big 7 / Super Big 7 (Electrocoin) (set 66)"
ec_big7__aa       "Big 7 / Super Big 7 (Electrocoin) (set 38)"
ec_big7__ab       "Big 7 / Super Big 7 (Electrocoin) (set 39)"
ec_big7__ac       "Big 7 / Super Big 7 (Electrocoin) (set 40)"
ec_big7__ad       "Big 7 / Super Big 7 (Electrocoin) (set 41)"
ec_big7__ae       "Big 7 / Super Big 7 (Electrocoin) (set 42)"
ec_big7__af       "Big 7 / Super Big 7 (Electrocoin) (set 43)"
ec_big7__ag       "Big 7 / Super Big 7 (Electrocoin) (set 44)"
ec_big7__ah       "Big 7 / Super Big 7 (Electrocoin) (set 45)"
ec_big7__ai       "Big 7 / Super Big 7 (Electrocoin) (set 46)"
ec_big7__aj       "Big 7 / Super Big 7 (Electrocoin) (set 47)"
ec_big7__ak       "Big 7 / Super Big 7 (Electrocoin) (set 48)"
ec_big7__al       "Big 7 / Super Big 7 (Electrocoin) (set 49)"
ec_big7__am       "Big 7 / Super Big 7 (Electrocoin) (set 50)"
ec_big7__an       "Big 7 / Super Big 7 (Electrocoin) (set 51)"
ec_big7__ao       "Big 7 / Super Big 7 (Electrocoin) (set 52)"
ec_big7__ap       "Big 7 / Super Big 7 (Electrocoin) (set 53)"
ec_big7__aq       "Big 7 / Super Big 7 (Electrocoin) (set 54)"
ec_big7__ar       "Big 7 / Super Big 7 (Electrocoin) (set 55)"
ec_big7__as       "Big 7 / Super Big 7 (Electrocoin) (set 56)"
ec_big7__at       "Big 7 / Super Big 7 (Electrocoin) (set 57)"
ec_big7__au       "Big 7 / Super Big 7 (Electrocoin) (set 58)"
ec_big7__av       "Big 7 / Super Big 7 (Electrocoin) (set 59)"
ec_big7__aw       "Big 7 / Super Big 7 (Electrocoin) (set 60)"
ec_big7__ax       "Big 7 / Super Big 7 (Electrocoin) (set 61)"
ec_big7__ay       "Big 7 / Super Big 7 (Electrocoin) (set 62)"
ec_big7__az       "Big 7 / Super Big 7 (Electrocoin) (set 63)"
ec_big7__b        "Big 7 / Super Big 7 (Electrocoin) (set 3)"
ec_big7__c        "Big 7 / Super Big 7 (Electrocoin) (set 4)"
ec_big7__d        "Big 7 / Super Big 7 (Electrocoin) (set 5)"
ec_big7__e        "Big 7 / Super Big 7 (Electrocoin) (set 6)"
ec_big7__f        "Big 7 / Super Big 7 (Electrocoin) (set 7)"
ec_big7__g        "Big 7 / Super Big 7 (Electrocoin) (set 8)"
ec_big7__h        "Big 7 / Super Big 7 (Electrocoin) (set 9)"
ec_big7__i        "Big 7 / Super Big 7 (Electrocoin) (set 10)"
ec_big7__j        "Big 7 / Super Big 7 (Electrocoin) (set 11)"
ec_big7__k        "Big 7 / Super Big 7 (Electrocoin) (set 12)"
ec_big7__l        "Big 7 / Super Big 7 (Electrocoin) (set 13)"
ec_big7__m        "Big 7 / Super Big 7 (Electrocoin) (set 14)"
ec_big7__n        "Big 7 / Super Big 7 (Electrocoin) (set 15)"
ec_big7__o        "Big 7 / Super Big 7 (Electrocoin) (set 16)"
ec_big7__p        "Big 7 / Super Big 7 (Electrocoin) (set 17)"
ec_big7__q        "Big 7 / Super Big 7 (Electrocoin) (set 18)"
ec_big7__r        "Big 7 / Super Big 7 (Electrocoin) (set 19)"
ec_big7__s        "Big 7 / Super Big 7 (Electrocoin) (set 20)"
ec_big7__t        "Big 7 / Super Big 7 (Electrocoin) (set 21)"
ec_big7__u        "Big 7 / Super Big 7 (Electrocoin) (set 22)"
ec_big7__v        "Big 7 / Super Big 7 (Electrocoin) (set 23)"
ec_big7__w        "Big 7 / Super Big 7 (Electrocoin) (set 24)"
ec_big7__x        "Big 7 / Super Big 7 (Electrocoin) (set 25)"
ec_big7__y        "Big 7 / Super Big 7 (Electrocoin) (set 26)"
ec_big7__z        "Big 7 / Super Big 7 (Electrocoin) (set 27)"
ec_bx125          "Bar X 125 (Electrocoin) (set 1)"
ec_bx125a         "Bar X 125 (Electrocoin) (set 2)"
ec_bx180          "Bar X (Z180 hardware) (Electrocoin) (set 1)"
ec_bx180a         "Bar X (Z180 hardware) (Electrocoin) (set 2)"
ec_bxd7s          "Bar X Diamond 7s (2006 COOL7) (Electrocoin) (set 1)"
ec_bxd7s__a       "Bar X Diamond 7s (2006 COOL7) (Electrocoin) (set 2)"
ec_bxd7s__b       "Bar X Diamond 7s (2006 COOL7) (Electrocoin) (set 3)"
ec_bxd7s__c       "Bar X Diamond 7s (2006 COOL7) (Electrocoin) (set 4)"
ec_bxd7s__d       "Bar X Diamond 7s (2006 COOL7) (Electrocoin) (set 5)"
ec_casbx          "Casino Bar X (Electrocoin) (set 1)"
ec_casbx__a       "Casino Bar X (Electrocoin) (set 2)"
ec_casbx__b       "Casino Bar X (Electrocoin) (set 3)"
ec_casbxcon       "Casino Bar X (Concept Games Ltd) (?)"
ec_casbxo         "Casino Bar X (older PCB) (Electrocoin) (set 1)"
ec_casbxoa        "Casino Bar X (older PCB) (Electrocoin) (set 2)"
ec_casmb          "Casino Multi Bar (Concept Games Ltd) (?)"
ec_fltr           "Flutter (Concept Games Ltd) (?)"
ec_gold7          "Golden 7 (Concept Games Ltd) (?)"
ec_jackb          "Jackpot Bars (MAB PCB?) (Concept Games Ltd) (?)"
ec_laby           "Labyrinth (v8) (Electrocoin)"
ec_labya          "Labyrinth (v10) (Electrocoin)"
ec_mag7s          "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 1)"
ec_mag7s__0       "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 28)"
ec_mag7s__1       "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 29)"
ec_mag7s__2       "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 30)"
ec_mag7s__3       "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 31)"
ec_mag7s__4       "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 32)"
ec_mag7s__5       "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 33)"
ec_mag7s__6       "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 34)"
ec_mag7s__7       "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 35)"
ec_mag7s__8       "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 36)"
ec_mag7s__9       "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 37)"
ec_mag7s__a       "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 2)"
ec_mag7s__a0      "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 64)"
ec_mag7s__aa      "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 38)"
ec_mag7s__ab      "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 39)"
ec_mag7s__ac      "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 40)"
ec_mag7s__ad      "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 41)"
ec_mag7s__ae      "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 42)"
ec_mag7s__af      "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 43)"
ec_mag7s__ag      "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 44)"
ec_mag7s__ah      "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 45)"
ec_mag7s__ai      "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 46)"
ec_mag7s__aj      "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 47)"
ec_mag7s__ak      "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 48)"
ec_mag7s__al      "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 49)"
ec_mag7s__am      "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 50)"
ec_mag7s__an      "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 51)"
ec_mag7s__ao      "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 52)"
ec_mag7s__ap      "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 53)"
ec_mag7s__aq      "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 54)"
ec_mag7s__ar      "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 55)"
ec_mag7s__as      "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 56)"
ec_mag7s__at      "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 57)"
ec_mag7s__au      "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 58)"
ec_mag7s__av      "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 59)"
ec_mag7s__aw      "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 60)"
ec_mag7s__ax      "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 61)"
ec_mag7s__ay      "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 62)"
ec_mag7s__az      "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 63)"
ec_mag7s__b       "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 3)"
ec_mag7s__c       "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 4)"
ec_mag7s__d       "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 5)"
ec_mag7s__e       "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 6)"
ec_mag7s__f       "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 7)"
ec_mag7s__g       "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 8)"
ec_mag7s__h       "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 9)"
ec_mag7s__i       "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 10)"
ec_mag7s__j       "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 11)"
ec_mag7s__k       "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 12)"
ec_mag7s__l       "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 13)"
ec_mag7s__m       "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 14)"
ec_mag7s__n       "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 15)"
ec_mag7s__o       "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 16)"
ec_mag7s__p       "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 17)"
ec_mag7s__q       "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 18)"
ec_mag7s__r       "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 19)"
ec_mag7s__s       "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 20)"
ec_mag7s__t       "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 21)"
ec_mag7s__u       "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 22)"
ec_mag7s__v       "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 23)"
ec_mag7s__w       "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 24)"
ec_mag7s__x       "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 25)"
ec_mag7s__y       "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 26)"
ec_mag7s__z       "Magic 7s / Cool 7 / Bar X 7 (2001 COOL7) (Electrocoin) (set 27)"
ec_mgbel          "Megabell (Concept Games Ltd) (?)"
